date,equity
2022-09-12,100000.0
2022-09-13,98827.52018923651
2022-09-14,100702.55802745085
2022-09-15,99660.20774869203
2022-09-16,98384.8080683364
2022-09-19,98049.1096804669
2022-09-20,97908.47233610656
2022-09-21,97736.18593626525
2022-09-22,97555.11802702452
2022-09-23,97078.1896387267
2022-09-26,97078.1896387267
2022-09-27,97078.1896387267
2022-09-28,97078.1896387267
2022-09-29,96736.10036112228
2022-09-30,96188.52156473557
2022-10-03,95934.96937967697
2022-10-04,96594.74330545822
2022-10-05,96767.36476541916
2022-10-06,97840.44337515568
2022-10-07,97277.10676626896
2022-10-10,96187.78037392438
2022-10-11,96468.94395577251
2022-10-12,96529.65170856871
2022-10-13,99578.88687702574
2022-10-14,98113.55498310484
2022-10-17,99083.22146412291
2022-10-18,99210.88502308287
2022-10-19,99413.27539631285
2022-10-20,99419.11910053648
2022-10-21,101648.88344164727
2022-10-24,103001.40899248955
2022-10-25,103025.84758258538
2022-10-26,104346.26376533665
2022-10-27,104871.75662525646
2022-10-28,106854.7739744996
2022-10-31,106618.36078175058
2022-11-01,107011.3284158461
2022-11-02,105568.40660188126
2022-11-03,106235.30180451798
2022-11-04,106435.17643649428
2022-11-07,107893.76006991713
2022-11-08,109683.98449618666
2022-11-09,107925.511631589
2022-11-10,108899.0691710879
2022-11-11,107177.58573429729
2022-11-14,106381.54653605267
2022-11-15,106713.105151728
2022-11-16,105544.11678053261
2022-11-17,105682.97745504786
2022-11-18,105643.45832434107
2022-11-21,105854.07525585398
2022-11-22,107058.9068522285
2022-11-23,107406.32695720896
2022-11-25,107827.32148693308
2022-11-28,106689.5068812202
2022-11-29,106371.03272198532
2022-11-30,107719.61632107591
2022-12-01,107851.48552426764
2022-12-02,108999.88077268073
2022-12-05,107675.61089810797
2022-12-06,106468.25297520756
2022-12-07,106960.62509892583
2022-12-08,107730.7006070435
2022-12-09,106789.86108858306
2022-12-12,107105.74191744048
2022-12-13,108261.125668356
2022-12-14,108750.5272119609
2022-12-15,106998.49001500744
2022-12-16,106471.92936895031
2022-12-19,106454.82052037853
2022-12-20,106668.94753024871
2022-12-21,108057.33991000945
2022-12-22,106599.32151554065
2022-12-23,107029.42980716663
2022-12-27,107554.35656497913
2022-12-28,106406.15188358264
2022-12-29,106809.30523441272
2022-12-30,106516.2110816243
2023-01-03,106803.22397530105
2023-01-04,107996.9236210981
2023-01-05,108163.91756449136
2023-01-06,110030.12897816005
2023-01-09,108195.13395346657
2023-01-10,107844.92629177184
2023-01-11,108799.09160835421
2023-01-12,109898.96331175098
2023-01-13,110407.91201933153
2023-01-17,110231.97360568085
2023-01-18,108600.13471544442
2023-01-19,108138.28290434627
2023-01-20,110415.78579445885
2023-01-23,112702.02538224266
2023-01-24,112550.7420273445
2023-01-25,113464.16501710145
2023-01-26,114107.85905167786
2023-01-27,115099.24479821115
2023-01-30,111825.38062241462
2023-01-31,113290.15820222677
2023-02-01,116460.11220269979
2023-02-02,119755.03113383932
2023-02-03,118068.57430162678
2023-02-06,117998.86295595417
2023-02-07,121048.73357668171
2023-02-08,121113.84429445515
2023-02-09,120535.67459383259
2023-02-10,117299.34931841145
2023-02-13,117880.11353736541
2023-02-14,119353.22907842368
2023-02-15,119906.74549828426
2023-02-16,117487.21019707576
2023-02-17,116324.71266703981
2023-02-21,113279.76961519908
2023-02-22,112929.4052894764
2023-02-23,115479.20435071003
2023-02-24,117636.14434505452
2023-02-27,117220.09610820761
2023-02-28,117262.5178335383
2023-03-01,117190.99756577749
2023-03-02,118454.8429007842
2023-03-03,120603.00293877858
2023-03-06,119705.4582049384
2023-03-07,118427.57098720905
2023-03-08,118155.39641926315
2023-03-09,117398.98442018629
2023-03-10,116174.2751420796
2023-03-13,115435.70257918522
2023-03-14,117320.54187793162
2023-03-15,118964.88823782612
2023-03-16,122449.29556206994
2023-03-17,121153.53833512597
2023-03-20,121378.50656876927
2023-03-21,123013.60193238621
2023-03-22,122444.67773805028
2023-03-23,124994.98326669102
2023-03-24,124506.03019318944
2023-03-27,123413.6252971742
2023-03-28,122429.73810540175
2023-03-29,124408.94550286268
2023-03-30,124828.08278041627
2023-03-31,124810.96248618045
2023-04-03,124292.64856000873
2023-04-04,123548.50150342914
2023-04-05,121961.59735914203
2023-04-06,123143.05071364313
