date,equity
2022-08-30,100000.0
2022-08-31,99729.23550078477
2022-09-01,99723.76520964707
2022-09-02,99195.16164904177
2022-09-06,99162.80018358766
2022-09-07,100152.49700670778
2022-09-08,100168.55052527398
2022-09-09,100103.07654607529
2022-09-12,100454.09059942001
2022-09-13,98065.18356830403
2022-09-14,99657.23973659145
2022-09-15,97708.40546972796
2022-09-16,96665.22215098956
2022-09-19,96587.63227234017
2022-09-20,95997.51286797474
2022-09-21,95826.64342217396
2022-09-22,95647.05815606068
2022-09-23,95174.04501702453
2022-09-26,95174.04501702453
2022-09-27,95174.04501702453
2022-09-28,95174.04501702453
2022-09-29,94838.32364745463
2022-09-30,94300.8514413389
2022-10-03,94052.3345727476
2022-10-04,94700.02789016093
2022-10-05,94869.41628737772
2022-10-06,95921.45212425622
2022-10-07,95368.71309532555
2022-10-10,94301.29811492233
2022-10-11,94576.79037490158
2022-10-12,94377.36425414353
2022-10-13,97359.1610299614
2022-10-14,95907.86350264816
2022-10-17,96936.8062631157
2022-10-18,97220.09181609421
2022-10-19,97561.65729537277
2022-10-20,97415.09218611984
2022-10-21,99956.13838973313
2022-10-24,101172.08037200241
2022-10-25,101040.1234933403
2022-10-26,102678.69446578293
2022-10-27,103003.40403762131
2022-10-28,103903.82569408546
2022-10-31,103885.04600048195
2022-11-01,103868.25061321388
2022-11-02,102609.79426098
2022-11-03,104620.77565288673
2022-11-04,104962.6157567296
2022-11-07,106417.09370559233
2022-11-08,108345.66373493358
2022-11-09,106601.48586322948
2022-11-10,108971.26668598338
2022-11-11,108402.02426960155
2022-11-14,108461.16771747753
2022-11-15,108857.95955707713
2022-11-16,108387.27240802928
2022-11-17,109145.82680561229
2022-11-18,109454.53849079295
2022-11-21,109487.81528522655
2022-11-22,110238.9944844453
2022-11-23,111113.07254841014
2022-11-25,111402.8079610078
2022-11-28,110254.98410846875
2022-11-29,110183.21910856049
2022-11-30,111779.69864652435
2022-12-01,112269.74258580395
2022-12-02,113152.8076645393
2022-12-05,112100.63006749339
2022-12-06,111176.30546791975
2022-12-07,111066.57110622327
2022-12-08,111699.13252284925
2022-12-09,111070.6240847389
2022-12-12,112185.36259487073
2022-12-13,112482.20326259534
2022-12-14,112387.89259365003
2022-12-15,109886.46199387894
2022-12-16,109016.31257453069
2022-12-19,108801.44734727933
2022-12-20,109071.68213426664
2022-12-21,111261.26610338285
2022-12-22,109714.71269762113
2022-12-23,110317.10199510648
2022-12-27,110795.72490465238
2022-12-28,109813.92323839261
2022-12-29,110312.3500114639
2022-12-30,109773.08169223806
2023-01-03,110291.72787143728
2023-01-04,111839.92946597126
2023-01-05,111343.75939150837
2023-01-06,113190.9161367082
2023-01-09,111429.56708417097
2023-01-10,111295.7422845227
2023-01-11,111792.3965842461
2023-01-12,112983.78523323292
2023-01-13,113431.06220314259
2023-01-17,113057.37839576954
2023-01-18,111885.96042701954
2023-01-19,110385.90044471974
2023-01-20,111918.8706920665
2023-01-23,113234.04017906601
2023-01-24,112584.40122490341
2023-01-25,112628.49405937607
2023-01-26,113295.03187828476
2023-01-27,113043.31226616318
2023-01-30,111837.7986246918
2023-01-31,111876.82213012132
2023-02-01,112155.46582328781
2023-02-02,113226.47506213961
2023-02-03,111755.85088847784
2023-02-06,110731.60170482306
2023-02-07,111590.52232635302
2023-02-08,109444.9641751079
2023-02-09,109290.68406215384
