symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
XOM,2022-08-30,2022-08-31,86.84,83.44,588,-1998.79,-1.0,stop
COP,2022-09-15,2022-09-19,100.38,96.06,453,-1957.24,-1.0,stop
XOM,2022-10-06,2022-10-31,86.94,98.57,387,4503.26,2.34,target
GD,2022-10-19,2022-11-16,220.25,226.78,162,1057.74,0.55,time_exit
LMT,2022-10-25,2022-11-22,410.99,434.02,95,2188.45,1.14,time_exit
DE,2022-10-28,2022-11-23,374.5,416.37,96,4019.16,2.09,target
BMY,2022-12-01,2022-12-13,68.16,65.5,809,-2155.08,-1.0,stop
WMT,2022-11-16,2022-12-15,47.16,46.53,823,-517.55,-0.26,time_exit
EMR,2022-12-14,2022-12-16,92.06,87.92,511,-2111.21,-1.0,stop
JNJ,2022-12-14,2022-12-19,161.22,157.54,574,-2111.34,-1.0,stop
JNJ,2023-01-05,2023-01-09,161.62,158.68,686,-2016.27,-1.0,stop
RTX,2023-01-09,2023-01-13,95.3,91.64,552,-2018.2,-1.0,stop
GS,2023-01-17,2023-01-18,335.08,329.78,365,-1933.54,-1.0,stop
TMO,2023-01-24,2023-01-25,603.23,568.91,55,-1888.0,-0.99,stop
SBUX,2023-01-05,2023-02-03,95.98,95.8,493,-86.04,-0.04,time_exit
MA,2023-01-09,2023-02-07,363.96,367.32,98,329.2,0.16,time_exit
BLK,2023-01-10,2023-02-08,689.59,671.4,60,-1091.2,-0.55,time_exit
V,2023-01-11,2023-02-09,215.45,223.74,223,1847.5,0.93,time_exit
BA,2023-02-15,2023-02-21,217.16,207.01,185,-1877.79,-1.0,stop
LRCX,2023-02-01,2023-03-02,48.24,47.4,575,-484.44,-0.26,time_exit
RTX,2023-02-21,2023-03-08,94.81,90.85,475,-1878.91,-1.0,stop
NVDA,2023-02-24,2023-03-24,23.17,26.72,1010,3586.17,1.95,time_exit
LRCX,2023-03-31,2023-04-05,51.22,47.74,535,-1865.19,-1.0,stop
AMAT,2023-03-15,2023-04-06,115.35,109.27,295,-1794.78,-1.0,stop
AVGO,2023-03-17,2023-04-17,60.63,60.19,617,-271.81,-0.15,time_exit
UPS,2023-03-17,2023-04-17,159.55,162.36,211,591.97,0.33,time_exit
CSCO,2023-03-21,2023-04-19,46.61,44.64,914,-1794.49,-1.0,stop
LMT,2023-04-19,2023-04-21,460.1,444.19,113,-1798.17,-1.0,stop
MA,2023-04-24,2023-04-27,367.99,356.97,157,-1729.32,-1.0,stop
GILD,2023-04-21,2023-04-28,76.16,73.56,679,-1764.95,-1.0,stop
V,2023-04-17,2023-05-02,228.29,220.93,243,-1788.98,-1.0,stop
FDX,2023-04-06,2023-05-05,174.13,172.84,196,-252.63,-0.14,time_exit
MRK,2023-05-03,2023-05-17,107.19,102.85,374,-1622.9,-1.0,stop
ORCL,2023-05-08,2023-05-19,93.38,98.87,557,3055.28,1.89,target
WMT,2023-04-24,2023-05-22,48.76,47.94,1481,-1216.45,-0.7,time_exit
MA,2023-05-01,2023-05-24,373.22,359.95,125,-1659.28,-1.0,stop
BRK-B,2023-05-22,2023-05-24,330.75,321.47,177,-1642.08,-1.0,stop
AVGO,2023-05-18,2023-05-25,62.94,68.02,681,3458.66,2.18,target
AAPL,2023-04-28,2023-05-26,165.79,172.86,292,2063.7,1.22,time_exit
BA,2023-06-05,2023-06-06,213.28,203.31,167,-1664.74,-1.0,stop
NFLX,2023-05-30,2023-06-13,39.75,42.65,393,1138.79,0.68,target
MO,2023-06-14,2023-06-20,35.72,34.73,1659,-1656.02,-1.0,stop
BA,2023-06-09,2023-06-22,217.99,206.8,146,-1633.78,-1.0,stop
JPM,2023-06-05,2023-07-05,130.27,135.4,351,1802.5,1.08,time_exit
LIN,2023-06-14,2023-07-06,361.11,348.06,127,-1656.5,-1.0,stop
GE,2023-06-08,2023-07-10,83.04,86.79,491,1838.25,1.12,time_exit
BKNG,2023-07-11,2023-07-18,107.32,116.45,312,2849.88,1.75,target
HON,2023-07-03,2023-07-27,191.64,186.39,302,-1587.01,-1.0,stop
CMCSA,2023-07-11,2023-07-27,35.25,37.59,1219,2860.99,1.75,target
INTU,2023-07-11,2023-07-28,454.77,500.11,66,2992.13,1.83,target
BRK-B,2023-07-03,2023-08-01,340.75,352.26,204,2348.04,1.48,time_exit
CAT,2023-08-01,2023-08-02,261.49,273.61,104,1259.77,0.71,target
C,2023-07-28,2023-08-03,43.58,41.25,736,-1712.16,-1.0,stop
COF,2023-07-19,2023-08-11,111.07,105.39,296,-1683.37,-1.0,stop
INTC,2023-07-28,2023-08-17,36.02,31.89,415,-1712.84,-1.0,stop
AMZN,2023-08-07,2023-08-18,140.99,131.46,189,-1801.66,-0.99,stop
MRK,2023-08-24,2023-09-06,101.16,97.83,512,-1705.99,-1.0,stop
ORCL,2023-09-08,2023-09-12,120.47,115.14,314,-1672.79,-1.0,stop
LOW,2023-08-31,2023-09-15,217.41,208.9,200,-1703.23,-1.0,stop
NVDA,2023-08-22,2023-09-18,48.04,43.3,360,-1706.1,-1.0,stop
MA,2023-08-31,2023-09-21,406.89,395.47,149,-1701.05,-1.0,stop
EMR,2023-08-28,2023-09-26,93.65,90.99,447,-1187.01,-0.7,time_exit
IBM,2023-09-21,2023-09-26,135.84,133.15,583,-1568.78,-1.0,stop
MU,2023-09-14,2023-09-27,70.88,66.5,374,-1637.91,-1.0,stop
COST,2023-09-29,2023-10-06,547.79,530.0,81,-1440.88,-0.99,stop
ADBE,2023-10-13,2023-10-25,560.0,530.59,48,-1411.45,-0.99,stop
MSFT,2023-10-26,2023-11-10,333.37,361.6,100,2822.33,2.03,target
IBM,2023-11-01,2023-11-15,132.19,140.6,296,2487.43,1.79,target
NOW,2023-11-01,2023-11-15,116.2,131.49,188,2874.66,2.06,target
PLTR,2023-11-03,2023-12-04,18.02,18.4,680,258.4,0.19,time_exit
MU,2023-11-06,2023-12-05,71.9,73.0,335,368.36,0.26,time_exit
V,2023-11-21,2023-12-14,245.37,258.2,239,3066.98,1.97,target
FDX,2023-12-01,2023-12-14,197.41,212.97,191,2971.85,1.91,target
AMD,2023-12-08,2023-12-27,129.54,145.65,159,2561.93,1.63,target
GE,2023-12-01,2024-01-02,95.62,99.03,505,1717.78,1.1,time_exit
AAPL,2023-12-06,2024-01-02,192.11,185.44,235,-1566.51,-1.0,stop
AMAT,2023-12-18,2024-01-03,157.67,150.28,228,-1683.95,-1.0,stop
AMZN,2023-12-18,2024-01-18,150.56,153.5,232,682.08,0.4,time_exit
NVDA,2024-01-09,2024-01-19,52.31,57.64,592,3156.91,1.85,target
VZ,2024-01-04,2024-01-23,33.14,34.67,1207,1847.03,1.08,target
BRK-B,2024-01-03,2024-01-24,362.08,377.36,246,3760.03,2.16,target
GOOG,2024-01-22,2024-01-31,147.41,141.18,286,-1781.91,-1.0,stop
AMZN,2024-01-22,2024-02-02,156.89,167.28,237,2462.91,1.38,target
LLY,2024-02-01,2024-02-05,636.21,685.58,68,3357.18,1.8,target
BRK-B,2024-01-25,2024-02-07,379.24,393.96,167,2457.42,1.29,target
MDLZ,2024-01-24,2024-02-13,68.83,67.29,1183,-1823.39,-1.0,stop
ADBE,2024-01-22,2024-02-16,615.0,586.29,62,-1780.24,-1.0,stop
WMT,2024-02-20,2024-02-26,58.0,57.89,501,-57.44,-0.03,target
LOW,2024-02-08,2024-02-27,211.36,227.79,234,3844.48,1.89,target
LOW,2024-02-28,2024-03-21,226.6,241.35,183,2700.21,1.33,target
TXN,2024-03-01,2024-04-01,156.4,161.65,351,1841.34,0.91,time_exit
TMO,2024-03-04,2024-04-02,570.68,567.24,108,-371.04,-0.18,time_exit
HON,2024-04-01,2024-04-03,193.57,187.91,368,-2083.56,-1.0,stop
GOOG,2024-03-19,2024-04-17,147.68,155.51,260,2036.05,1.0,time_exit
GOOGL,2024-03-19,2024-04-17,146.86,154.1,257,1862.16,0.92,time_exit
SO,2024-04-22,2024-05-08,66.73,71.56,1041,5028.19,2.34,target
SCHW,2024-04-17,2024-05-15,71.34,76.62,589,3109.07,1.5,time_exit
DUK,2024-04-22,2024-05-17,90.46,96.5,750,4529.06,2.1,target
KO,2024-04-25,2024-05-23,58.01,58.21,1223,252.26,0.12,time_exit
TMUS,2024-05-02,2024-05-31,160.37,167.45,452,3200.71,1.49,target
AVGO,2024-05-16,2024-05-31,139.52,131.81,299,-2307.95,-1.0,stop
LRCX,2024-05-29,2024-05-31,93.95,89.99,609,-2410.13,-1.0,stop
BKNG,2024-05-10,2024-06-10,148.57,149.12,297,163.18,0.07,time_exit
VZ,2024-06-03,2024-06-12,35.54,34.34,1986,-2379.31,-1.0,stop
BNY,2024-06-03,2024-06-13,56.8,55.14,1431,-2379.47,-1.0,stop
AVGO,2024-06-13,2024-06-14,167.31,162.44,80,-390.17,-0.17,target
LLY,2024-06-03,2024-06-17,812.48,876.58,63,4038.13,1.7,target
SPG,2024-06-11,2024-06-17,137.41,133.63,629,-2382.56,-1.0,stop
ISRG,2024-05-22,2024-06-18,402.56,433.41,149,4595.96,1.91,target
PLTR,2024-06-18,2024-07-15,25.15,28.65,1188,4163.26,1.8,target
NFLX,2024-06-17,2024-07-17,66.91,63.96,773,-2279.37,-1.0,stop
AMZN,2024-06-24,2024-07-18,189.33,182.12,333,-2401.89,-1.0,stop
T,2024-06-24,2024-07-23,16.55,16.61,4069,231.52,0.1,time_exit
AMGN,2024-06-25,2024-07-24,300.23,315.63,191,2942.36,1.22,time_exit
PG,2024-07-18,2024-07-30,158.98,155.42,686,-2442.36,-1.0,stop
ISRG,2024-07-22,2024-07-30,462.33,432.81,81,-2391.34,-1.0,stop
EMR,2024-07-16,2024-08-01,113.58,109.11,556,-2485.25,-1.0,stop
NOW,2024-07-26,2024-08-02,165.17,154.72,235,-2455.53,-1.0,stop
LOW,2024-08-01,2024-08-05,237.27,225.21,195,-2351.35,-1.0,stop
LIN,2024-08-01,2024-08-08,444.43,429.94,163,-2361.99,-1.0,stop
DHR,2024-07-24,2024-08-21,258.6,267.7,229,2084.93,0.87,time_exit
CL,2024-08-02,2024-08-30,97.33,101.62,540,2318.68,1.0,time_exit
BAC,2024-09-03,2024-09-06,38.76,37.33,1571,-2256.74,-1.0,stop
BNY,2024-08-19,2024-09-16,63.04,67.74,907,4258.15,1.96,target
LLY,2024-08-21,2024-09-19,943.77,903.7,31,-1242.39,-0.57,time_exit
HD,2024-08-22,2024-09-20,353.36,373.07,133,2622.19,1.19,time_exit
AMGN,2024-09-17,2024-09-25,316.86,304.89,191,-2286.18,-1.0,stop
GD,2024-08-30,2024-09-30,286.37,290.86,275,1236.07,0.56,time_exit
COF,2024-09-20,2024-10-03,149.72,140.76,253,-2266.07,-1.0,stop
DHR,2024-09-10,2024-10-08,269.58,265.7,232,-899.81,-0.41,time_exit
UBER,2024-10-10,2024-10-11,77.65,86.08,576,4853.52,2.17,target
AXP,2024-09-23,2024-10-21,265.61,265.69,162,13.87,0.01,time_exit
ACN,2024-09-27,2024-10-25,342.83,348.54,147,839.88,0.37,time_exit
JNJ,2024-10-24,2024-10-25,157.08,153.6,670,-2335.93,-1.0,stop
HON,2024-10-10,2024-10-28,201.48,196.72,470,-2235.91,-1.0,stop
BMY,2024-10-01,2024-10-29,47.34,48.38,941,975.61,0.42,time_exit
GS,2024-10-14,2024-11-06,499.95,537.74,112,4232.21,1.81,target
COF,2024-10-28,2024-11-06,157.75,174.56,260,4370.61,1.89,target
AMZN,2024-10-30,2024-11-06,194.7,206.1,198,2257.11,0.99,target
CRM,2024-11-07,2024-11-11,303.61,327.44,195,4645.45,1.86,target
GOOG,2024-10-30,2024-11-12,181.26,182.65,130,180.84,0.08,target
GOOGL,2024-10-30,2024-11-12,179.54,181.24,132,224.84,0.1,target
COST,2024-11-08,2024-11-22,905.26,958.27,93,4929.68,1.97,target
FDX,2024-11-25,2024-12-03,234.44,223.99,258,-2695.51,-1.0,stop
C,2024-11-07,2024-12-06,65.37,69.16,923,3494.66,1.4,time_exit
BRK-B,2024-11-26,2024-12-09,478.2,464.6,198,-2693.44,-1.0,stop
SBUX,2024-11-12,2024-12-11,95.76,94.71,675,-710.88,-0.27,time_exit
AVGO,2024-12-12,2024-12-13,178.17,205.01,262,7031.6,2.66,target
META,2024-12-04,2024-12-20,609.45,581.09,93,-2637.88,-1.0,stop
IBM,2024-11-22,2024-12-23,213.38,212.02,284,-385.27,-0.15,time_exit
NVDA,2025-01-07,2025-01-08,152.8,138.57,191,-2719.13,-1.0,stop
GOOG,2024-12-11,2025-01-13,185.73,191.29,319,1773.98,0.67,time_exit
