symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
MCD,2022-09-13,2022-09-15,236.19,231.83,84,-365.8,-0.18,trailing_stop
TMUS,2022-09-13,2022-09-16,136.26,132.57,146,-538.87,-0.27,trailing_stop
CVX,2022-09-13,2022-09-19,137.37,131.15,145,-902.07,-0.45,trailing_stop
COP,2022-09-14,2022-09-23,98.46,92.96,203,-1115.07,-0.56,trailing_stop
BMY,2022-09-29,2022-10-11,60.64,58.99,320,-527.09,-0.27,rotated_out
LLY,2022-09-29,2022-10-13,323.66,321.85,59,-106.92,-0.06,rotated_out
PEP,2022-10-14,2022-10-18,155.37,154.55,124,-100.72,-0.05,rotated_out
XOM,2022-10-06,2022-10-18,86.38,88.42,224,457.82,0.24,rotated_out
AMGN,2022-10-12,2022-10-19,216.08,219.47,89,301.42,0.16,rotated_out
MRK,2022-10-10,2022-10-19,80.35,83.33,241,717.08,0.37,rotated_out
LMT,2022-10-19,2022-10-21,392.81,411.49,49,915.44,0.47,rotated_out
GD,2022-10-19,2022-10-24,220.25,225.8,87,482.64,0.25,rotated_out
AMGN,2022-10-24,2022-10-25,225.44,229.9,87,387.73,0.2,rotated_out
LMT,2022-10-25,2022-10-26,410.99,418.69,48,369.74,0.19,rotated_out
GD,2022-10-26,2022-10-27,229.22,229.68,86,39.83,0.02,rotated_out
AMGN,2022-10-27,2022-10-28,236.98,242.12,84,431.56,0.22,rotated_out
COP,2022-10-06,2022-10-31,100.84,110.76,192,1905.89,0.98,rotated_out
DE,2022-10-28,2022-10-31,374.5,376.43,53,101.82,0.05,rotated_out
TMUS,2022-10-31,2022-11-01,143.44,145.62,140,305.24,0.15,rotated_out
LLY,2022-11-01,2022-11-03,335.15,350.51,61,937.01,0.46,rotated_out
XOM,2022-10-20,2022-11-03,91.51,97.46,213,1266.78,0.65,rotated_out
MRK,2022-11-02,2022-11-04,89.04,88.64,230,-92.48,-0.04,rotated_out
CVX,2022-10-20,2022-11-04,144.08,156.1,135,1622.28,0.83,rotated_out
GD,2022-11-04,2022-11-08,231.71,233.89,90,195.88,0.09,rotated_out
SBUX,2022-11-07,2022-11-09,83.24,83.68,255,112.68,0.05,rotated_out
COP,2022-11-07,2022-11-09,116.61,110.03,182,-1197.48,-0.56,rotated_out
LLY,2022-11-09,2022-11-10,357.07,357.34,59,16.01,0.01,rotated_out
MRK,2022-11-10,2022-11-11,91.77,87.06,230,-1081.41,-0.51,trailing_stop
DE,2022-11-04,2022-11-11,380.99,386.14,55,282.97,0.13,rotated_out
AMGN,2022-11-01,2022-11-11,238.4,252.03,85,1159.01,0.57,rotated_out
MCD,2022-11-11,2022-11-14,253.22,249.5,83,-308.8,-0.15,rotated_out
CVX,2022-11-14,2022-11-15,158.56,160.04,133,196.95,0.09,rotated_out
DE,2022-11-15,2022-11-16,391.58,386.49,53,-270.17,-0.13,rotated_out
COP,2022-11-14,2022-11-18,116.73,113.39,181,-604.91,-0.29,rotated_out
NEE,2022-11-17,2022-11-22,74.85,75.62,282,215.5,0.1,rotated_out
WMT,2022-11-16,2022-11-22,47.04,48.26,450,545.43,0.26,rotated_out
CVX,2022-11-23,2022-11-28,157.13,152.97,134,-557.38,-0.26,rotated_out
XOM,2022-11-14,2022-11-30,99.59,98.45,212,-241.82,-0.11,rotated_out
PEP,2022-11-29,2022-11-30,161.83,163.78,130,253.64,0.12,rotated_out
GS,2022-11-10,2022-11-30,337.64,354.69,62,1057.0,0.5,rotated_out
DE,2022-11-23,2022-11-30,408.47,419.39,51,556.79,0.26,rotated_out
MRK,2022-11-21,2022-12-01,93.82,98.11,223,956.43,0.46,rotated_out
UNH,2022-12-01,2022-12-02,514.34,500.79,41,-555.38,-0.26,rotated_out
HON,2022-12-02,2022-12-05,196.42,197.12,109,76.74,0.04,rotated_out
LMT,2022-12-05,2022-12-06,447.09,440.83,47,-294.09,-0.14,rotated_out
MCD,2022-12-07,2022-12-09,251.12,250.69,85,-36.03,-0.02,rotated_out
AMGN,2022-12-06,2022-12-09,254.5,248.1,84,-537.75,-0.25,rotated_out
SBUX,2022-12-01,2022-12-12,93.46,93.79,228,77.05,0.04,rotated_out
ABBV,2022-12-01,2022-12-12,140.92,144.7,151,570.95,0.27,rotated_out
NFLX,2022-12-01,2022-12-13,30.4,32.03,702,1147.77,0.54,rotated_out
MS,2022-12-14,2022-12-15,82.23,78.36,263,-1019.91,-0.47,trailing_stop
ISRG,2022-12-12,2022-12-16,272.22,264.89,78,-571.88,-0.27,trailing_stop
MDLZ,2022-12-13,2022-12-16,61.55,58.88,347,-924.09,-0.43,trailing_stop
ABBV,2022-12-16,2022-12-21,141.83,141.97,151,21.15,0.01,rotated_out
EMR,2022-12-22,2023-01-03,89.48,89.56,236,19.8,0.01,rotated_out
CAT,2022-12-19,2023-01-03,220.88,225.59,95,446.77,0.21,rotated_out
MRK,2022-12-12,2023-01-03,96.44,99.96,220,775.76,0.36,rotated_out
SCHW,2022-12-22,2023-01-04,76.88,79.01,275,583.9,0.28,rotated_out
PG,2023-01-04,2023-01-05,137.84,136.34,155,-231.94,-0.11,rotated_out
ORCL,2023-01-04,2023-01-05,80.36,80.46,266,27.92,0.01,rotated_out
BNY,2023-01-04,2023-01-06,43.11,43.44,496,166.27,0.08,rotated_out
GE,2023-01-05,2023-01-06,54.79,56.39,392,626.85,0.29,rotated_out
MRK,2023-01-06,2023-01-09,102.82,99.15,208,-763.6,-0.36,trailing_stop
RTX,2023-01-06,2023-01-09,94.22,92.09,227,-482.74,-0.22,rotated_out
AVGO,2023-01-09,2023-01-10,56.42,53.1,383,-1271.14,-0.59,trailing_stop
MA,2023-01-09,2023-01-10,363.96,363.35,59,-35.82,-0.02,rotated_out
SBUX,2023-01-10,2023-01-11,95.31,97.08,224,396.88,0.19,rotated_out
BLK,2023-01-10,2023-01-11,689.59,695.37,31,179.37,0.08,rotated_out
BA,2022-12-13,2023-01-12,191.11,214.32,112,2599.52,1.21,time_exit
V,2023-01-11,2023-01-12,215.05,217.32,98,221.91,0.11,rotated_out
NFLX,2023-01-11,2023-01-12,32.65,33.01,646,234.5,0.11,rotated_out
MA,2023-01-12,2023-01-13,370.06,367.77,57,-130.63,-0.06,rotated_out
SPG,2023-01-13,2023-01-17,103.38,103.97,211,124.59,0.06,rotated_out
BAC,2023-01-17,2023-01-18,31.72,30.66,687,-728.11,-0.33,trailing_stop
CAT,2023-01-13,2023-01-18,242.51,238.75,90,-338.27,-0.15,rotated_out
BA,2023-01-13,2023-01-18,212.0,209.41,103,-266.77,-0.12,rotated_out
JPM,2023-01-18,2023-01-19,128.15,124.59,170,-605.89,-0.28,trailing_stop
BNY,2023-01-12,2023-01-20,43.91,44.95,483,501.15,0.24,rotated_out
MS,2023-01-19,2023-01-23,84.1,86.34,256,573.46,0.27,rotated_out
TMO,2023-01-20,2023-01-24,580.63,574.42,36,-223.63,-0.1,rotated_out
UBER,2023-01-19,2023-01-24,28.47,29.93,757,1105.22,0.51,rotated_out
BKNG,2023-01-19,2023-01-25,88.91,93.64,242,1144.55,0.53,rotated_out
NFLX,2023-01-23,2023-01-25,34.17,36.8,630,1653.12,0.77,rotated_out
GE,2023-01-24,2023-01-25,61.14,63.33,354,774.2,0.36,rotated_out
DHR,2023-01-25,2023-01-26,230.64,231.19,94,51.49,0.02,rotated_out
PM,2023-01-26,2023-01-27,88.28,88.85,255,146.31,0.06,rotated_out
T,2023-01-26,2023-01-27,16.76,16.5,1345,-355.94,-0.16,rotated_out
BA,2023-01-26,2023-01-27,213.48,211.17,105,-242.55,-0.11,rotated_out
LRCX,2023-01-27,2023-01-30,47.2,46.3,478,-432.77,-0.19,rotated_out
BNY,2023-01-30,2023-01-31,45.36,46.16,495,397.65,0.18,rotated_out
V,2023-01-30,2023-01-31,223.71,223.72,100,0.97,0.0,rotated_out
GM,2023-01-30,2023-02-01,35.46,37.92,634,1559.79,0.69,rotated_out
BKNG,2023-01-31,2023-02-01,94.78,95.79,236,239.41,0.11,rotated_out
SPG,2023-02-01,2023-02-02,106.37,109.61,211,682.62,0.3,rotated_out
UPS,2023-02-01,2023-02-02,151.36,156.78,148,801.78,0.36,rotated_out
GM,2023-02-03,2023-02-07,39.22,39.94,589,426.21,0.18,rotated_out
