symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
MCD,2022-09-13,2022-09-15,236.19,231.83,84,-365.8,-0.18,trailing_stop
TMUS,2022-09-13,2022-09-16,136.26,132.57,146,-538.86,-0.27,trailing_stop
CVX,2022-09-13,2022-09-19,137.37,131.15,145,-902.07,-0.45,trailing_stop
COP,2022-09-14,2022-09-23,98.46,92.96,203,-1115.07,-0.56,trailing_stop
BMY,2022-09-29,2022-10-11,60.64,58.99,320,-527.1,-0.27,rotated_out
LLY,2022-09-29,2022-10-20,323.66,318.91,59,-280.18,-0.14,rotated_out
MRK,2022-10-10,2022-10-24,80.35,87.0,241,1602.13,0.83,rotated_out
AMGN,2022-10-12,2022-10-25,216.08,229.9,89,1230.08,0.64,rotated_out
LLY,2022-10-25,2022-10-26,335.82,346.81,58,637.42,0.33,rotated_out
COP,2022-10-06,2022-10-31,100.84,110.76,192,1905.89,0.98,rotated_out
XOM,2022-10-06,2022-11-03,86.38,97.46,224,2481.66,1.28,time_exit
DE,2022-11-04,2022-11-08,380.99,384.75,54,202.85,0.1,rotated_out
CVX,2022-10-21,2022-11-09,143.96,151.43,133,993.81,0.52,rotated_out
LLY,2022-11-09,2022-11-10,357.07,357.34,58,15.74,0.01,rotated_out
MCD,2022-11-01,2022-11-10,250.8,252.81,81,162.55,0.08,rotated_out
AMGN,2022-10-27,2022-11-11,236.98,252.03,84,1264.22,0.63,rotated_out
LMT,2022-10-26,2022-11-14,418.34,416.78,47,-73.07,-0.04,trailing_stop
TMUS,2022-11-11,2022-11-14,143.41,139.1,147,-632.59,-0.3,rotated_out
NEE,2022-11-11,2022-11-15,74.86,74.54,281,-90.95,-0.04,rotated_out
DE,2022-11-15,2022-11-16,391.58,386.49,54,-275.26,-0.13,rotated_out
XOM,2022-11-15,2022-11-16,100.63,99.84,210,-165.27,-0.08,rotated_out
COP,2022-11-16,2022-11-18,116.91,113.39,181,-636.83,-0.3,rotated_out
CVX,2022-11-14,2022-11-28,158.56,152.97,134,-749.29,-0.35,rotated_out
PEP,2022-11-29,2022-11-30,161.83,163.78,128,249.75,0.12,rotated_out
WMT,2022-11-17,2022-11-30,46.77,48.49,451,776.21,0.37,rotated_out
NEE,2022-11-17,2022-12-01,74.85,76.65,281,505.47,0.24,rotated_out
GS,2022-11-10,2022-12-05,337.64,341.27,62,224.99,0.11,rotated_out
WMT,2022-12-06,2022-12-09,48.1,46.58,440,-668.81,-0.32,trailing_stop
SBUX,2022-12-01,2022-12-13,93.46,93.25,225,-45.21,-0.02,rotated_out
NFLX,2022-12-02,2022-12-13,31.05,32.03,680,669.8,0.32,rotated_out
ISRG,2022-12-12,2022-12-14,272.22,280.65,77,649.11,0.31,rotated_out
MRK,2022-11-21,2022-12-20,93.82,98.68,223,1083.33,0.52,time_exit
HD,2022-12-14,2022-12-20,301.96,287.8,70,-990.88,-0.47,trailing_stop
ABBV,2022-12-01,2022-12-30,140.92,139.9,149,-150.68,-0.07,trailing_stop
DE,2022-12-15,2023-01-03,413.69,404.63,51,-461.88,-0.22,rotated_out
EMR,2022-12-22,2023-01-03,89.48,89.56,238,19.96,0.01,rotated_out
CAT,2022-12-22,2023-01-04,226.79,227.93,94,107.41,0.05,rotated_out
PG,2023-01-04,2023-01-05,137.84,136.34,153,-228.94,-0.11,rotated_out
BNY,2023-01-04,2023-01-06,43.11,43.44,491,164.59,0.08,rotated_out
GE,2023-01-05,2023-01-06,54.79,56.39,387,618.85,0.29,rotated_out
MRK,2023-01-06,2023-01-09,102.82,99.15,205,-752.59,-0.36,trailing_stop
AVGO,2023-01-09,2023-01-10,56.42,53.1,378,-1254.55,-0.59,trailing_stop
BLK,2023-01-10,2023-01-11,689.59,695.37,30,173.59,0.08,rotated_out
BA,2022-12-14,2023-01-13,187.33,214.13,113,3028.4,1.43,time_exit
MA,2023-01-11,2023-01-13,364.93,367.77,57,161.88,0.08,rotated_out
ORCL,2023-01-04,2023-01-17,80.36,84.87,263,1187.75,0.56,rotated_out
CAT,2023-01-09,2023-01-17,235.15,242.0,90,616.19,0.29,rotated_out
BAC,2023-01-17,2023-01-18,31.72,30.66,681,-721.75,-0.33,trailing_stop
BLK,2023-01-17,2023-01-18,690.09,687.5,31,-80.42,-0.04,rotated_out
NFLX,2023-01-18,2023-01-19,32.67,31.58,672,-737.18,-0.34,rotated_out
BNY,2023-01-12,2023-01-20,43.91,44.95,477,494.92,0.24,rotated_out
MS,2023-01-19,2023-01-23,84.1,86.34,259,580.18,0.27,rotated_out
TMO,2023-01-20,2023-01-24,580.63,574.42,37,-229.84,-0.11,rotated_out
BKNG,2023-01-19,2023-01-26,88.91,95.22,245,1546.42,0.71,rotated_out
LRCX,2023-01-27,2023-01-30,47.2,46.3,468,-423.72,-0.19,rotated_out
BKNG,2023-01-31,2023-02-01,94.78,95.79,232,235.35,0.11,rotated_out
