symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
TMUS,2022-08-31,2022-09-13,139.56,133.47,143,-871.18,-0.44,trailing_stop
NEE,2022-09-08,2022-09-15,80.67,77.75,247,-722.19,-0.36,trailing_stop
MCD,2022-09-09,2022-09-16,238.49,231.14,83,-610.32,-0.31,trailing_stop
CVX,2022-09-13,2022-09-19,138.57,132.29,144,-903.66,-0.45,trailing_stop
SO,2022-09-02,2022-09-20,68.89,66.78,290,-612.67,-0.31,trailing_stop
COP,2022-09-14,2022-09-23,99.11,93.58,200,-1105.92,-0.56,trailing_stop
BMY,2022-09-29,2022-10-27,60.64,63.18,313,796.69,0.42,time_exit
LLY,2022-09-29,2022-10-27,323.66,345.33,58,1256.85,0.66,time_exit
COP,2022-10-06,2022-11-03,101.51,118.34,187,3146.92,1.65,time_exit
XOM,2022-10-06,2022-11-03,86.94,98.09,218,2430.83,1.28,time_exit
MRK,2022-10-10,2022-11-07,80.35,89.42,236,2138.24,1.12,time_exit
CVX,2022-10-28,2022-11-28,155.79,154.3,124,-184.19,-0.09,time_exit
DE,2022-10-28,2022-11-28,374.5,419.59,51,2299.44,1.18,time_exit
GD,2022-11-04,2022-12-05,231.71,232.38,88,58.68,0.03,time_exit
AMGN,2022-11-07,2022-12-06,238.5,253.7,86,1307.34,0.64,time_exit
SBUX,2022-11-08,2022-12-07,82.56,93.04,254,2660.62,1.27,time_exit
GD,2022-12-06,2022-12-15,232.71,224.09,92,-792.58,-0.37,trailing_stop
MCD,2022-12-07,2022-12-16,251.12,246.54,86,-394.02,-0.18,trailing_stop
ISRG,2022-12-12,2022-12-16,272.22,264.89,81,-593.88,-0.27,trailing_stop
PEP,2022-11-29,2022-12-28,161.83,161.46,132,-48.51,-0.02,time_exit
ABBV,2022-12-01,2022-12-30,140.92,139.9,151,-152.71,-0.07,trailing_stop
HD,2022-12-16,2023-01-06,295.47,282.69,74,-946.15,-0.43,trailing_stop
JNJ,2023-01-04,2023-01-10,161.5,157.53,135,-536.88,-0.25,trailing_stop
ABBV,2023-01-09,2023-01-10,145.2,140.96,148,-628.17,-0.29,trailing_stop
BA,2022-12-19,2023-01-19,184.92,207.09,118,2616.06,1.2,time_exit
CAT,2022-12-19,2023-01-19,220.88,233.18,98,1205.14,0.55,time_exit
TMO,2023-01-20,2023-01-30,580.63,558.67,38,-834.39,-0.38,trailing_stop
MA,2023-01-11,2023-01-31,364.93,359.77,58,-299.3,-0.14,trailing_stop
CAT,2023-01-31,2023-02-01,243.86,238.12,90,-516.58,-0.23,trailing_stop
BNY,2023-01-04,2023-02-02,43.11,45.8,506,1362.59,0.62,time_exit
CSCO,2023-02-01,2023-02-07,44.04,42.77,498,-630.9,-0.29,trailing_stop
BLK,2023-01-11,2023-02-09,697.29,669.99,30,-818.88,-0.38,trailing_stop
BKNG,2023-01-20,2023-02-17,91.15,96.43,243,1283.86,0.58,time_exit
AMAT,2023-02-02,2023-02-21,116.82,109.39,186,-1382.02,-0.63,trailing_stop
AVGO,2023-02-03,2023-02-22,56.97,55.1,388,-724.84,-0.33,trailing_stop
BA,2023-02-08,2023-02-22,213.07,205.16,103,-815.23,-0.37,trailing_stop
GM,2023-02-10,2023-02-23,39.79,38.39,548,-764.27,-0.35,trailing_stop
CSCO,2023-02-21,2023-02-23,46.15,44.25,478,-908.05,-0.41,trailing_stop
RTX,2023-02-23,2023-03-09,93.45,89.63,229,-874.5,-0.41,trailing_stop
DE,2023-02-22,2023-03-10,409.48,386.27,53,-1230.47,-0.56,trailing_stop
GE,2023-02-23,2023-03-13,65.45,69.11,328,1201.21,0.56,trailing_stop
LIN,2023-02-24,2023-03-13,308.64,324.9,68,1105.37,0.52,trailing_stop
NVDA,2023-02-24,2023-03-24,23.17,26.72,912,3238.2,1.53,time_exit
AVGO,2023-03-10,2023-04-10,59.84,60.2,350,123.88,0.06,time_exit
LMT,2023-03-13,2023-04-11,432.49,447.12,47,687.94,0.33,time_exit
PEP,2023-03-14,2023-04-12,154.27,163.28,137,1233.86,0.58,time_exit
ABBV,2023-03-15,2023-04-13,134.46,145.07,157,1665.57,0.79,time_exit
CSCO,2023-03-27,2023-04-19,46.14,45.8,473,-159.68,-0.07,trailing_stop
MU,2023-04-11,2023-04-25,62.82,57.62,348,-1810.05,-0.83,trailing_stop
ABBV,2023-04-20,2023-04-27,143.72,142.28,156,-225.82,-0.1,trailing_stop
BKNG,2023-04-26,2023-05-05,103.54,100.85,214,-574.69,-0.26,trailing_stop
MCD,2023-04-12,2023-05-10,263.09,274.88,83,978.54,0.44,time_exit
CMCSA,2023-04-28,2023-05-10,33.38,32.85,663,-352.4,-0.16,trailing_stop
MDLZ,2023-04-13,2023-05-11,64.11,71.47,347,2550.73,1.15,time_exit
AAPL,2023-04-14,2023-05-12,161.95,170.04,139,1124.08,0.5,time_exit
AVGO,2023-05-08,2023-05-26,60.42,72.11,364,4255.12,1.93,trailing_stop
CRM,2023-05-11,2023-06-01,199.46,206.96,111,832.33,0.38,trailing_stop
AMD,2023-05-11,2023-06-09,98.16,124.92,225,6021.0,2.72,time_exit
GOOG,2023-05-12,2023-06-12,115.98,123.26,195,1420.72,0.63,time_exit
GOOGL,2023-05-15,2023-06-13,115.09,122.74,198,1515.13,0.66,time_exit
BA,2023-06-13,2023-06-21,222.35,210.31,114,-1372.85,-0.54,trailing_stop
ACN,2023-05-30,2023-06-22,288.87,291.4,82,206.86,0.09,trailing_stop
CSCO,2023-06-14,2023-06-23,46.58,46.01,551,-315.07,-0.12,trailing_stop
AAPL,2023-06-02,2023-07-03,178.37,189.64,134,1509.14,0.63,time_exit
ADBE,2023-06-12,2023-07-06,463.71,479.55,54,855.35,0.34,trailing_stop
COST,2023-07-06,2023-07-07,516.9,505.63,49,-552.29,-0.21,trailing_stop
BRK-B,2023-06-22,2023-07-21,338.84,345.76,75,519.0,0.2,time_exit
ABT,2023-06-23,2023-07-24,101.16,107.68,251,1635.62,0.64,time_exit
AMZN,2023-06-26,2023-07-25,129.33,129.13,196,-39.2,-0.02,time_exit
JPM,2023-07-07,2023-08-04,134.72,146.06,192,2176.62,0.84,time_exit
AAPL,2023-07-24,2023-08-04,190.57,186.05,135,-610.01,-0.24,trailing_stop
CAT,2023-07-10,2023-08-07,233.26,270.03,110,4043.87,1.57,time_exit
ACN,2023-07-26,2023-08-11,299.56,290.85,87,-757.82,-0.29,trailing_stop
BRK-B,2023-08-08,2023-08-11,359.42,353.56,75,-439.32,-0.16,trailing_stop
BA,2023-07-25,2023-08-17,214.2,227.96,122,1678.54,0.64,trailing_stop
AMZN,2023-08-07,2023-08-18,140.99,131.96,187,-1687.69,-0.64,trailing_stop
BKNG,2023-08-07,2023-08-21,120.82,118.81,219,-439.74,-0.17,trailing_stop
HD,2023-08-14,2023-08-21,307.2,299.83,88,-648.66,-0.24,trailing_stop
JNJ,2023-08-14,2023-08-21,158.97,153.78,170,-882.54,-0.33,trailing_stop
NVDA,2023-08-22,2023-09-11,48.04,44.68,555,-1863.21,-0.7,trailing_stop
CSCO,2023-08-18,2023-09-13,50.47,51.86,542,752.69,0.27,trailing_stop
ACN,2023-09-12,2023-09-13,304.35,299.47,86,-419.81,-0.16,trailing_stop
AMZN,2023-09-14,2023-09-19,145.08,138.26,181,-1234.14,-0.47,trailing_stop
MA,2023-08-23,2023-09-21,392.21,397.14,68,335.42,0.13,trailing_stop
GOOG,2023-08-24,2023-09-21,133.55,131.17,199,-474.4,-0.18,trailing_stop
