symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
RTX,2022-08-26,2022-08-29,89.11,85.2,511,-1998.9,-1.0,stop
CVX,2022-08-24,2022-09-01,138.78,131.69,282,-1998.67,-1.0,stop
TMUS,2022-08-25,2022-09-13,138.96,133.82,389,-1998.57,-1.0,stop
NEE,2022-09-08,2022-09-15,80.67,77.75,656,-1918.02,-1.0,stop
XOM,2022-08-24,2022-09-16,86.53,81.35,386,-1998.22,-1.0,stop
CVX,2022-09-15,2022-09-19,137.94,132.99,379,-1876.41,-1.0,stop
SO,2022-09-02,2022-09-21,68.89,66.6,839,-1919.75,-1.0,stop
COP,2022-08-24,2022-09-22,94.25,95.95,318,540.59,0.27,time_exit
MRK,2022-10-10,2022-10-17,80.35,83.9,354,1253.31,0.72,target
BMY,2022-09-29,2022-10-27,60.64,63.18,625,1590.83,0.92,time_exit
LLY,2022-09-29,2022-10-27,324.12,345.82,94,2039.87,1.17,time_exit
XOM,2022-10-06,2022-10-31,86.94,98.57,350,4072.72,2.35,target
COP,2022-10-06,2022-11-03,101.51,118.33,251,4222.94,2.43,target
AMGN,2022-10-18,2022-11-07,225.79,244.61,165,3104.98,1.76,target
COP,2022-11-07,2022-11-21,117.39,108.5,224,-1992.88,-1.0,stop
DE,2022-10-28,2022-11-23,374.5,416.37,92,3851.7,2.1,target
CVX,2022-10-28,2022-11-28,155.79,154.3,166,-246.58,-0.13,time_exit
GD,2022-11-01,2022-11-30,232.04,233.75,172,293.11,0.15,time_exit
SBUX,2022-11-08,2022-12-01,83.03,94.3,328,3696.51,1.79,target
BMY,2022-12-01,2022-12-13,68.16,65.5,788,-2099.16,-1.0,stop
HON,2022-12-02,2022-12-15,197.01,191.79,416,-2172.66,-1.0,stop
PEP,2022-11-29,2022-12-28,161.83,161.46,453,-166.49,-0.08,time_exit
ABBV,2022-12-01,2022-12-30,140.92,141.45,356,190.08,0.09,time_exit
CAT,2022-12-01,2022-12-30,223.72,226.23,190,477.28,0.23,time_exit
